2010 Census Tract,School Year,Grade Level,Count of Students
102,20052006,4,36
102,20052006,5,44
102,20062007,K,46
102,20062007,1,61
102,20062007,2,51
102,20062007,3,59
102,20062007,4,34
102,20062007,5,38
102,20072008,K,41
102,20072008,1,46
102,20072008,2,56
102,20072008,3,53
102,20072008,4,50
102,20072008,5,32
102,20082009,K,44
102,20082009,1,50
102,20082009,2,47
102,20082009,3,52
102,20082009,4,59
102,20082009,5,53
102,20092010,K,78
102,20092010,1,66
102,20092010,2,61
102,20092010,3,67
102,20092010,4,58
102,20092010,5,64
102,20102011,K,95
102,20102011,1,83
102,20102011,2,78
102,20102011,3,64
102,20102011,4,69
102,20102011,5,65
104,20012002,K,67
104,20012002,1,79
104,20012002,2,77
104,20012002,3,53
104,20012002,4,63
104,20012002,5,55
104,20022003,K,86
104,20022003,1,76
104,20022003,2,71
104,20022003,3,68
104,20022003,4,53
104,20022003,5,65
104,20032004,K,73
104,20032004,1,83
104,20032004,2,67
104,20032004,3,67
104,20032004,4,65
104,20032004,5,63
104,20042005,K,67
104,20042005,1,79
104,20042005,2,81
104,20042005,3,66
104,20042005,4,60
104,20042005,5,65
104,20052006,K,78
104,20052006,1,73
104,20052006,2,74
104,20052006,3,77
104,20052006,4,65
104,20052006,5,54
104,20062007,K,69
104,20062007,1,72
104,20062007,2,67
104,20062007,3,74
104,20062007,4,70
104,20062007,5,63
104,20072008,K,61
104,20072008,1,69
104,20072008,2,71
104,20072008,3,67
104,20072008,4,65
104,20072008,5,71
104,20082009,K,77
104,20082009,1,71
104,20082009,2,68
104,20082009,3,68
104,20082009,4,69
104,20082009,5,65
104,20092010,K,92
104,20092010,1,113
104,20092010,2,91
104,20092010,3,75
104,20092010,4,78
104,20092010,5,62
104,20102011,K,107
104,20102011,1,108
104,20102011,2,121
104,20102011,3,104
104,20102011,4,82
104,20102011,5,71
106,20012002,K,43
106,20012002,1,55
106,20012002,2,48
106,20012002,3,51
106,20012002,4,43
106,20012002,5,46
106,20022003,K,37
106,20022003,1,47
106,20022003,2,50
106,20022003,3,56
106,20022003,4,52
106,20022003,5,44
106,20032004,K,41
106,20032004,1,47
106,20032004,2,43
106,20032004,3,47
106,20032004,4,53
106,20032004,5,45
106,20042005,K,54
106,20042005,1,39
106,20042005,2,40
106,20042005,3,40
106,20042005,4,45
106,20042005,5,48
106,20052006,K,39
106,20052006,1,50
106,20052006,2,34
106,20052006,3,40
106,20052006,4,37
106,20052006,5,40
106,20062007,K,35
106,20062007,1,46
106,20062007,2,55
106,20062007,3,40
106,20062007,4,44
106,20062007,5,28
106,20072008,K,37
106,20072008,1,36
106,20072008,2,42
106,20072008,3,52
106,20072008,4,43
106,20072008,5,45
106,20082009,K,37
106,20082009,1,42
106,20082009,2,30
106,20082009,3,38
106,20082009,4,53
106,20082009,5,38
106,20092010,K,43
106,20092010,1,47
106,20092010,2,56
106,20092010,3,35
106,20092010,4,50
106,20092010,5,50
106,20102011,K,69
106,20102011,1,60
106,20102011,2,56
106,20102011,3,69
106,20102011,4,41
106,20102011,5,56
108,20012002,K,44
108,20012002,1,36
108,20012002,2,32
108,20012002,3,28
108,20012002,4,27
108,20012002,5,36
108,20022003,K,30
108,20022003,1,39
108,20022003,2,32
108,20022003,3,29
108,20022003,4,30
108,20022003,5,23
108,20032004,K,28
108,20032004,1,30
108,20032004,2,39
108,20032004,3,29
108,20032004,4,20
108,20032004,5,27
108,20042005,K,34
108,20042005,1,30
108,20042005,2,28
108,20042005,3,39
108,20042005,4,25
108,20042005,5,19
108,20052006,K,30
108,20052006,1,29
108,20052006,2,28
108,20052006,3,34
108,20052006,4,34
108,20052006,5,23
108,20062007,K,43
108,20062007,1,43
108,20062007,2,34
108,20062007,3,30
108,20062007,4,37
108,20062007,5,36
108,20072008,K,33
108,20072008,1,48
108,20072008,2,35
108,20072008,3,31
108,20072008,4,31
108,20072008,5,37
108,20082009,K,38
108,20082009,1,39
108,20082009,2,52
108,20082009,3,30
108,20082009,4,37
108,20082009,5,28
108,20092010,K,44
108,20092010,1,53
108,20092010,2,54
108,20092010,3,52
108,20092010,4,36
108,20092010,5,33
108,20102011,K,47
108,20102011,1,57
108,20102011,2,49
108,20102011,3,54
108,20102011,4,49
108,20102011,5,41
110,20012002,5,1
110,20042005,3,1
110,20052006,4,1
110,20062007,5,1
110,20072008,4,1
110,20082009,5,1
114,20012002,K,18
114,20012002,1,26
114,20012002,2,12
114,20012002,3,18
114,20012002,4,12
114,20012002,5,15
114,20022003,K,6
114,20022003,1,18
114,20022003,2,21
114,20022003,3,9
114,20022003,4,18
114,20022003,5,10
114,20032004,K,18
114,20032004,1,7
114,20032004,2,12
114,20032004,3,17
114,20032004,4,8
114,20032004,5,10
114,20042005,K,11
114,20042005,1,23
114,20042005,2,9
114,20042005,3,14
114,20042005,4,20
114,20042005,5,7
114,20052006,K,12
114,20052006,1,10
114,20052006,2,24
114,20052006,3,10
114,20052006,4,12
114,20052006,5,22
114,20062007,K,11
114,20062007,1,9
114,20062007,2,9
114,20062007,3,18
114,20062007,4,10
114,20062007,5,13
114,20072008,K,11
114,20072008,1,11
114,20072008,2,9
114,20072008,3,6
114,20072008,4,15
114,20072008,5,10
114,20082009,K,16
114,20082009,1,11
114,20082009,2,9
114,20082009,3,8
114,20082009,4,7
114,20082009,5,14
114,20092010,K,16
114,20092010,1,18
114,20092010,2,13
114,20092010,3,12
114,20092010,4,15
114,20092010,5,13
114,20102011,K,15
114,20102011,1,20
114,20102011,2,25
114,20102011,3,12
114,20102011,4,18
114,20102011,5,15
116,20012002,K,60
116,20012002,1,61
116,20012002,2,39
116,20012002,3,55
116,20012002,4,51
116,20012002,5,38
116,20022003,K,49
116,20022003,1,70
116,20022003,2,54
116,20022003,3,46
116,20022003,4,54
116,20022003,5,52
116,20032004,K,51
116,20032004,1,55
116,20032004,2,60
116,20032004,3,54
116,20032004,4,50
116,20032004,5,51
116,20042005,K,57
116,20042005,1,61
116,20042005,2,60
116,20042005,3,59
116,20042005,4,56
116,20042005,5,56
116,20052006,K,73
116,20052006,1,63
116,20052006,2,53
116,20052006,3,59
116,20052006,4,54
116,20052006,5,58
116,20062007,K,80
116,20062007,1,80
116,20062007,2,55
116,20062007,3,63
116,20062007,4,63
116,20062007,5,62
116,20072008,K,54
116,20072008,1,79
116,20072008,2,72
116,20072008,3,57
116,20072008,4,59
116,20072008,5,59
116,20082009,K,86
116,20082009,1,54
116,20082009,2,73
116,20082009,3,76
116,20082009,4,53
116,20082009,5,56
116,20092010,K,112
116,20092010,1,116
116,20092010,2,96
116,20092010,3,84
116,20092010,4,89
116,20092010,5,62
116,20102011,K,105
116,20102011,1,133
116,20102011,2,116
116,20102011,3,97
116,20102011,4,93
116,20102011,5,87
118,20012002,K,14
118,20012002,1,26
118,20012002,2,23
118,20012002,3,26
118,20012002,4,21
118,20012002,5,22
118,20022003,K,24
118,20022003,1,18
118,20022003,2,33
118,20022003,3,22
118,20022003,4,27
118,20022003,5,18
118,20032004,K,25
118,20032004,1,28
118,20032004,2,16
118,20032004,3,32
118,20032004,4,21
118,20032004,5,25
118,20042005,K,19
118,20042005,1,26
118,20042005,2,25
118,20042005,3,18
118,20042005,4,29
118,20042005,5,21
118,20052006,K,29
118,20052006,1,22
118,20052006,2,30
118,20052006,3,21
118,20052006,4,16
118,20052006,5,29
118,20062007,K,30
118,20062007,1,24
118,20062007,2,22
118,20062007,3,31
118,20062007,4,25
118,20062007,5,19
118,20072008,K,17
118,20072008,1,34
118,20072008,2,22
118,20072008,3,20
118,20072008,4,34
118,20072008,5,24
118,20082009,K,20
118,20082009,1,21
118,20082009,2,33
118,20082009,3,21
118,20082009,4,24
118,20082009,5,31
118,20092010,K,25
118,20092010,1,29
118,20092010,2,27
118,20092010,3,38
118,20092010,4,23
118,20092010,5,32
118,20102011,K,35
118,20102011,1,29
118,20102011,2,27
118,20102011,3,22
118,20102011,4,29
118,20102011,5,27
120,20012002,K,11
120,20012002,1,12
120,20012002,2,19
120,20012002,3,16
120,20012002,4,12
120,20012002,5,14
120,20022003,K,13
120,20022003,1,10
120,20022003,2,15
120,20022003,3,19
120,20022003,4,16
120,20022003,5,11
120,20032004,K,13
120,20032004,1,16
120,20032004,2,10
120,20032004,3,16
120,20032004,4,18
120,20032004,5,13
120,20042005,K,14
120,20042005,1,15
120,20042005,2,18
120,20042005,3,13
120,20042005,4,14
120,20042005,5,18
120,20052006,K,13
120,20052006,1,16
120,20052006,2,14
120,20052006,3,22
120,20052006,4,14
120,20052006,5,16
120,20062007,K,21
120,20062007,1,11
120,20062007,2,16
120,20062007,3,18
120,20062007,4,19
120,20062007,5,11
120,20072008,K,11
120,20072008,1,22
120,20072008,2,13
120,20072008,3,16
120,20072008,4,15
120,20072008,5,19
120,20082009,K,22
120,20082009,1,13
120,20082009,2,23
120,20082009,3,15
120,20082009,4,18
120,20082009,5,19
120,20092010,K,21
120,20092010,1,25
120,20092010,2,16
120,20092010,3,25
120,20092010,4,15
120,20092010,5,17
120,20102011,K,18
120,20102011,1,23
120,20102011,2,27
120,20102011,3,19
120,20102011,4,26
120,20102011,5,18
122,20012002,K,72
122,20012002,1,80
122,20012002,2,75
122,20012002,3,71
122,20012002,4,81
122,20012002,5,67
122,20022003,K,59
122,20022003,1,72
122,20022003,2,70
122,20022003,3,74
122,20022003,4,68
122,20022003,5,73
122,20032004,K,55
122,20032004,1,55
122,20032004,2,76
122,20032004,3,58
122,20032004,4,68
122,20032004,5,68
122,20042005,K,62
122,20042005,1,54
122,20042005,2,61
122,20042005,3,61
122,20042005,4,48
122,20042005,5,71
122,20052006,K,69
122,20052006,1,65
122,20052006,2,58
122,20052006,3,52
122,20052006,4,57
122,20052006,5,48
122,20062007,K,51
122,20062007,1,78
122,20062007,2,62
122,20062007,3,52
122,20062007,4,47
122,20062007,5,58
122,20072008,K,41
122,20072008,1,59
122,20072008,2,82
122,20072008,3,54
122,20072008,4,47
122,20072008,5,49
122,20082009,K,50
122,20082009,1,54
122,20082009,2,58
122,20082009,3,75
122,20082009,4,52
122,20082009,5,42
122,20092010,K,71
122,20092010,1,64
122,20092010,2,74
122,20092010,3,62
122,20092010,4,77
122,20092010,5,63
122,20102011,K,79
122,20102011,1,72
122,20102011,2,68
122,20102011,3,75
122,20102011,4,61
122,20102011,5,73
126,20012002,K,30
126,20012002,1,23
126,20012002,2,33
126,20012002,3,35
126,20012002,4,26
126,20012002,5,23
126,20022003,K,30
126,20022003,1,26
126,20022003,2,22
126,20022003,3,33
126,20022003,4,34
126,20022003,5,18
126,20032004,K,19
126,20032004,1,30
126,20032004,2,19
126,20032004,3,23
126,20032004,4,28
126,20032004,5,31
126,20042005,K,25
126,20042005,1,22
126,20042005,2,30
126,20042005,3,21
126,20042005,4,26
126,20042005,5,28
126,20052006,K,30
126,20052006,1,26
126,20052006,2,22
126,20052006,3,31
126,20052006,4,26
126,20052006,5,33
126,20062007,K,33
126,20062007,1,28
126,20062007,2,28
126,20062007,3,27
126,20062007,4,33
126,20062007,5,28
126,20072008,K,33
126,20072008,1,31
126,20072008,2,30
126,20072008,3,32
126,20072008,4,27
126,20072008,5,32
126,20082009,K,36
126,20082009,1,33
126,20082009,2,28
126,20082009,3,33
126,20082009,4,31
126,20082009,5,26
126,20092010,K,24
126,20092010,1,41
126,20092010,2,35
126,20092010,3,28
126,20092010,4,33
126,20092010,5,33
126,20102011,K,37
126,20102011,1,27
126,20102011,2,40
126,20102011,3,38
126,20102011,4,31
126,20102011,5,37
130,20012002,K,34
130,20012002,1,50
130,20012002,2,46
130,20012002,3,46
130,20012002,4,32
130,20012002,5,43
130,20022003,K,48
130,20022003,1,37
130,20022003,2,51
130,20022003,3,50
130,20022003,4,43
130,20022003,5,36
130,20032004,K,46
130,20032004,1,49
130,20032004,2,38
130,20032004,3,61
130,20032004,4,49
130,20032004,5,46
130,20042005,K,43
130,20042005,1,44
130,20042005,2,50
130,20042005,3,39
130,20042005,4,53
130,20042005,5,49
130,20052006,K,55
130,20052006,1,48
130,20052006,2,49
130,20052006,3,47
130,20052006,4,43
130,20052006,5,61
130,20062007,K,44
130,20062007,1,50
130,20062007,2,52
130,20062007,3,39
130,20062007,4,48
130,20062007,5,45
130,20072008,K,49
130,20072008,1,37
130,20072008,2,47
130,20072008,3,51
130,20072008,4,34
130,20072008,5,45
130,20082009,K,37
130,20082009,1,53
130,20082009,2,33
130,20082009,3,45
130,20082009,4,47
130,20082009,5,43
130,20092010,K,57
130,20092010,1,46
130,20092010,2,55
130,20092010,3,31
130,20092010,4,46
130,20092010,5,43
130,20102011,K,55
130,20102011,1,56
130,20102011,2,41
130,20102011,3,53
130,20102011,4,29
130,20102011,5,49
132,20012002,K,21
132,20012002,1,18
132,20012002,2,19
132,20012002,3,25
132,20012002,4,24
132,20012002,5,15
132,20022003,K,17
132,20022003,1,18
132,20022003,2,26
132,20022003,3,20
132,20022003,4,28
132,20022003,5,24
132,20032004,K,15
132,20032004,1,19
132,20032004,2,17
132,20032004,3,23
132,20032004,4,18
132,20032004,5,22
132,20042005,K,19
132,20042005,1,20
132,20042005,2,21
132,20042005,3,25
132,20042005,4,27
132,20042005,5,20
132,20052006,K,16
132,20052006,1,19
132,20052006,2,20
132,20052006,3,26
132,20052006,4,26
132,20052006,5,29
132,20062007,K,25
132,20062007,1,25
132,20062007,2,19
132,20062007,3,23
132,20062007,4,27
132,20062007,5,24
132,20072008,K,26
132,20072008,1,18
132,20072008,2,27
132,20072008,3,15
132,20072008,4,25
132,20072008,5,24
132,20082009,K,25
132,20082009,1,27
132,20082009,2,19
132,20082009,3,26
132,20082009,4,18
132,20082009,5,26
132,20092010,K,21
132,20092010,1,32
132,20092010,2,29
132,20092010,3,22
132,20092010,4,25
132,20092010,5,19
132,20102011,K,26
132,20102011,1,28
132,20102011,2,30
132,20102011,3,32
132,20102011,4,20
132,20102011,5,28
134,20012002,K,24
134,20012002,1,32
134,20012002,2,31
134,20012002,3,31
134,20012002,4,35
134,20012002,5,16
134,20022003,K,29
134,20022003,1,24
134,20022003,2,39
134,20022003,3,31
134,20022003,4,33
134,20022003,5,40
134,20032004,K,31
134,20032004,1,30
134,20032004,2,28
134,20032004,3,38
134,20032004,4,34
134,20032004,5,30
134,20042005,K,32
134,20042005,1,32
134,20042005,2,30
134,20042005,3,33
134,20042005,4,31
134,20042005,5,33
134,20052006,K,27
134,20052006,1,29
134,20052006,2,30
134,20052006,3,31
134,20052006,4,28
134,20052006,5,31
134,20062007,K,25
134,20062007,1,31
134,20062007,2,32
134,20062007,3,33
134,20062007,4,30
134,20062007,5,24
134,20072008,K,31
134,20072008,1,22
134,20072008,2,34
134,20072008,3,33
134,20072008,4,31
134,20072008,5,27
134,20082009,K,32
134,20082009,1,32
134,20082009,2,21
134,20082009,3,36
134,20082009,4,31
134,20082009,5,31
134,20092010,K,28
134,20092010,1,36
134,20092010,2,33
134,20092010,3,21
134,20092010,4,35
134,20092010,5,31
134,20102011,K,37
134,20102011,1,41
134,20102011,2,41
134,20102011,3,32
134,20102011,4,25
134,20102011,5,36
136,20012002,K,31
136,20012002,1,22
136,20012002,2,24
136,20012002,3,33
136,20012002,4,18
136,20012002,5,24
136,20022003,K,21
136,20022003,1,29
136,20022003,2,22
136,20022003,3,26
136,20022003,4,31
136,20022003,5,20
136,20032004,K,23
136,20032004,1,26
136,20032004,2,29
136,20032004,3,24
136,20032004,4,30
136,20032004,5,28
136,20042005,K,34
136,20042005,1,24
136,20042005,2,25
136,20042005,3,27
136,20042005,4,22
136,20042005,5,28
136,20052006,K,22
136,20052006,1,31
136,20052006,2,29
136,20052006,3,25
136,20052006,4,27
136,20052006,5,25
136,20062007,K,35
136,20062007,1,17
136,20062007,2,29
136,20062007,3,30
136,20062007,4,26
136,20062007,5,30
136,20072008,K,28
136,20072008,1,34
136,20072008,2,17
136,20072008,3,30
136,20072008,4,28
136,20072008,5,26
136,20082009,K,26
136,20082009,1,31
136,20082009,2,33
136,20082009,3,15
136,20082009,4,26
136,20082009,5,29
136,20092010,K,36
136,20092010,1,32
136,20092010,2,32
136,20092010,3,34
136,20092010,4,17
136,20092010,5,28
136,20102011,K,37
136,20102011,1,37
136,20102011,2,36
136,20102011,3,33
136,20102011,4,31
136,20102011,5,23
138,20012002,K,13
138,20012002,1,18
138,20012002,2,6
138,20012002,3,20
138,20012002,4,7
138,20012002,5,15
138,20022003,K,15
138,20022003,1,12
138,20022003,2,16
138,20022003,3,7
138,20022003,4,18
138,20022003,5,7
138,20032004,K,11
138,20032004,1,14
138,20032004,2,14
138,20032004,3,12
138,20032004,4,5
138,20032004,5,16
138,20042005,K,15
138,20042005,1,8
138,20042005,2,14
138,20042005,3,17
138,20042005,4,12
138,20042005,5,6
138,20052006,K,14
138,20052006,1,19
138,20052006,2,9
138,20052006,3,15
138,20052006,4,15
138,20052006,5,11
138,20062007,K,15
138,20062007,1,18
138,20062007,2,22
138,20062007,3,13
138,20062007,4,15
138,20062007,5,15
138,20072008,K,10
138,20072008,1,12
138,20072008,2,14
138,20072008,3,20
138,20072008,4,8
138,20072008,5,11
138,20082009,K,24
138,20082009,1,8
138,20082009,2,14
138,20082009,3,14
138,20082009,4,18
138,20082009,5,12
138,20092010,K,10
138,20092010,1,30
138,20092010,2,13
138,20092010,3,12
138,20092010,4,12
138,20092010,5,16
138,20102011,K,21
138,20102011,1,13
138,20102011,2,30
138,20102011,3,16
138,20102011,4,13
138,20102011,5,11
140,20012002,K,15
140,20012002,1,13
140,20012002,2,11
140,20012002,3,9
140,20012002,4,9
140,20012002,5,7
140,20022003,K,19
140,20022003,1,17
140,20022003,2,12
140,20022003,3,8
140,20022003,4,12
140,20022003,5,9
140,20032004,K,13
140,20032004,1,18
140,20032004,2,15
140,20032004,3,14
140,20032004,4,8
140,20032004,5,10
140,20042005,K,5
140,20042005,1,16
140,20042005,2,18
140,20042005,3,17
140,20042005,4,12
140,20042005,5,8
140,20052006,K,8
140,20052006,1,6
140,20052006,2,18
140,20052006,3,17
140,20052006,4,16
140,20052006,5,12
140,20062007,K,7
140,20062007,1,8
140,20062007,2,7
140,20062007,3,20
140,20062007,4,16
140,20062007,5,14
140,20072008,K,8
140,20072008,1,5
140,20072008,2,7
140,20072008,3,6
140,20072008,4,18
140,20072008,5,15
140,20082009,K,6
140,20082009,1,9
140,20082009,2,3
140,20082009,3,7
140,20082009,4,6
140,20082009,5,19
140,20092010,K,12
140,20092010,1,7
140,20092010,2,10
140,20092010,3,7
140,20092010,4,10
140,20092010,5,5
140,20102011,K,8
140,20102011,1,13
140,20102011,2,8
140,20102011,3,9
140,20102011,4,6
140,20102011,5,10
142,20012002,K,21
142,20012002,1,32
142,20012002,2,26
142,20012002,3,15
142,20012002,4,12
142,20012002,5,15
142,20022003,K,29
142,20022003,1,20
142,20022003,2,25
142,20022003,3,18
142,20022003,4,15
142,20022003,5,12
142,20032004,K,20
142,20032004,1,24
142,20032004,2,24
142,20032004,3,21
142,20032004,4,21
142,20032004,5,22
142,20042005,K,25
142,20042005,1,20
142,20042005,2,19
142,20042005,3,21
142,20042005,4,20
142,20042005,5,23
142,20052006,K,19
142,20052006,1,23
142,20052006,2,19
142,20052006,3,17
142,20052006,4,20
142,20052006,5,13
142,20062007,K,19
142,20062007,1,17
142,20062007,2,22
142,20062007,3,20
142,20062007,4,18
142,20062007,5,19
142,20072008,K,23
142,20072008,1,23
142,20072008,2,17
142,20072008,3,18
142,20072008,4,19
142,20072008,5,20
142,20082009,K,18
142,20082009,1,26
142,20082009,2,18
142,20082009,3,16
142,20082009,4,16
142,20082009,5,14
142,20092010,K,29
142,20092010,1,17
142,20092010,2,26
142,20092010,3,14
142,20092010,4,12
142,20092010,5,16
142,20102011,K,29
142,20102011,1,28
142,20102011,2,20
142,20102011,3,26
142,20102011,4,14
142,20102011,5,12
148,20012002,K,4
148,20012002,1,7
148,20012002,2,9
148,20012002,3,3
148,20012002,4,5
148,20012002,5,6
148,20022003,K,9
148,20022003,1,2
148,20022003,2,9
148,20022003,3,4
148,20022003,4,4
148,20022003,5,4
148,20032004,K,11
148,20032004,1,7
148,20032004,2,3
148,20032004,3,7
148,20032004,4,3
148,20032004,5,4
148,20042005,K,11
148,20042005,1,10
148,20042005,2,7
148,20042005,3,3
148,20042005,4,8
148,20042005,5,3
148,20052006,K,8
148,20052006,1,11
148,20052006,2,9
148,20052006,3,5
148,20052006,4,3
148,20052006,5,9
148,20062007,K,2
148,20062007,1,11
148,20062007,2,10
148,20062007,3,9
148,20062007,4,6
148,20062007,5,3
148,20072008,K,7
148,20072008,1,3
148,20072008,2,11
148,20072008,3,12
148,20072008,4,8
148,20072008,5,7
148,20082009,K,7
148,20082009,1,6
148,20082009,2,3
148,20082009,3,11
148,20082009,4,13
148,20082009,5,8
148,20092010,K,9
148,20092010,1,7
148,20092010,2,7
148,20092010,3,5
148,20092010,4,11
148,20092010,5,11
148,20102011,K,7
148,20102011,1,10
148,20102011,2,7
148,20102011,3,7
148,20102011,4,5
148,20102011,5,10
150,20012002,K,6
150,20012002,1,5
150,20012002,2,11
150,20012002,3,8
150,20012002,4,4
150,20012002,5,7
150,20022003,K,12
150,20022003,1,5
150,20022003,2,6
150,20022003,3,13
150,20022003,4,7
150,20022003,5,6
150,20032004,K,9
150,20032004,1,11
150,20032004,2,4
150,20032004,3,8
150,20032004,4,9
150,20032004,5,7
150,20042005,K,8
150,20042005,1,7
150,20042005,2,10
150,20042005,3,5
150,20042005,4,11
150,20042005,5,7
150,20052006,K,13
150,20052006,1,8
150,20052006,2,5
150,20052006,3,12
150,20052006,4,4
150,20052006,5,8
150,20062007,K,6
150,20062007,1,13
150,20062007,2,9
150,20062007,3,6
150,20062007,4,14
150,20062007,5,5
150,20072008,K,9
150,20072008,1,5
150,20072008,2,14
150,20072008,3,10
150,20072008,4,7
150,20072008,5,13
150,20082009,K,8
150,20082009,1,12
150,20082009,2,9
150,20082009,3,14
150,20082009,4,12
150,20082009,5,9
150,20092010,K,14
150,20092010,1,11
150,20092010,2,12
150,20092010,3,12
150,20092010,4,14
150,20092010,5,11
150,20102011,K,17
150,20102011,1,16
150,20102011,2,14
150,20102011,3,14
150,20102011,4,10
150,20102011,5,15
152,20012002,K,13
152,20012002,1,12
152,20012002,2,6
152,20012002,3,9
152,20012002,4,8
152,20012002,5,5
152,20022003,K,12
152,20022003,1,16
152,20022003,2,7
152,20022003,3,6
152,20022003,4,9
152,20022003,5,10
152,20032004,K,15
152,20032004,1,10
152,20032004,2,14
152,20032004,3,8
152,20032004,4,4
152,20032004,5,8
152,20042005,K,9
152,20042005,1,17
152,20042005,2,7
152,20042005,3,8
152,20042005,4,6
152,20042005,5,2
152,20052006,K,11
152,20052006,1,8
152,20052006,2,14
152,20052006,3,6
152,20052006,4,6
152,20052006,5,2
152,20062007,K,9
152,20062007,1,10
152,20062007,2,9
152,20062007,3,10
152,20062007,4,7
152,20062007,5,4
152,20072008,K,9
152,20072008,1,11
152,20072008,2,8
152,20072008,3,8
152,20072008,4,7
152,20072008,5,7
152,20082009,K,10
152,20082009,1,6
152,20082009,2,10
152,20082009,3,6
152,20082009,4,8
152,20082009,5,7
152,20092010,K,6
152,20092010,1,11
152,20092010,2,4
152,20092010,3,13
152,20092010,4,7
152,20092010,5,6
152,20102011,K,17
152,20102011,1,5
152,20102011,2,11
152,20102011,3,4
152,20102011,4,11
152,20102011,5,4
160,20012002,K,17
160,20012002,1,22
160,20012002,2,14
160,20012002,3,11
160,20012002,4,8
160,20012002,5,11
160,20022003,K,21
160,20022003,1,15
160,20022003,2,17
160,20022003,3,14
160,20022003,4,9
160,20022003,5,6
160,20032004,K,18
160,20032004,1,19
160,20032004,2,18
160,20032004,3,18
160,20032004,4,13
160,20032004,5,11
160,20042005,K,23
160,20042005,1,18
160,20042005,2,22
160,20042005,3,20
160,20042005,4,19
160,20042005,5,12
160,20052006,K,22
160,20052006,1,22
160,20052006,2,17
160,20052006,3,22
160,20052006,4,21
160,20052006,5,18
160,20062007,K,23
160,20062007,1,20
160,20062007,2,21
160,20062007,3,19
160,20062007,4,19
160,20062007,5,14
160,20072008,K,12
160,20072008,1,22
160,20072008,2,14
160,20072008,3,20
160,20072008,4,15
160,20072008,5,15
160,20082009,K,38
160,20082009,1,10
160,20082009,2,20
160,20082009,3,12
160,20082009,4,12
160,20082009,5,10
160,20092010,K,22
160,20092010,1,44
160,20092010,2,12
160,20092010,3,17
160,20092010,4,9
160,20092010,5,7
160,20102011,K,28
160,20102011,1,19
160,20102011,2,45
160,20102011,3,13
160,20102011,4,13
160,20102011,5,10
162,20012002,K,4
162,20012002,1,6
162,20012002,2,5
162,20012002,3,3
162,20012002,4,3
162,20012002,5,2
162,20022003,K,5
162,20022003,1,6
162,20022003,2,6
162,20022003,3,6
162,20022003,4,4
162,20022003,5,3
162,20032004,K,8
162,20032004,1,5
162,20032004,2,6
162,20032004,3,5
162,20032004,4,5
162,20032004,5,5
162,20042005,K,10
162,20042005,1,6
162,20042005,2,6
162,20042005,3,3
162,20042005,4,4
162,20042005,5,4
162,20052006,K,13
162,20052006,1,10
162,20052006,2,6
162,20052006,3,7
162,20052006,4,3
162,20052006,5,6
162,20062007,K,7
162,20062007,1,11
162,20062007,2,5
162,20062007,3,2
162,20062007,4,5
162,20062007,5,3
162,20072008,K,3
162,20072008,1,8
162,20072008,2,9
162,20072008,3,3
162,20072008,4,1
162,20072008,5,6
162,20082009,K,10
162,20082009,1,5
162,20082009,2,4
162,20082009,3,7
162,20082009,4,3
162,20082009,5,1
162,20092010,K,6
162,20092010,1,13
162,20092010,2,5
162,20092010,3,3
162,20092010,4,7
162,20092010,5,1
162,20102011,K,10
162,20102011,1,5
162,20102011,2,13
162,20102011,3,3
162,20102011,4,3
162,20102011,5,4
164,20012002,K,2
164,20012002,1,7
164,20012002,2,7
164,20012002,3,4
164,20012002,4,10
164,20012002,5,4
164,20022003,K,1
164,20022003,1,5
164,20022003,2,7
164,20022003,3,9
164,20022003,4,3
164,20022003,5,5
164,20032004,1,1
164,20032004,2,4
164,20032004,3,6
164,20032004,4,4
164,20032004,5,2
164,20042005,K,4
164,20042005,2,1
164,20042005,3,1
164,20042005,4,4
164,20042005,5,3
164,20052006,K,2
164,20052006,1,7
164,20052006,2,1
164,20052006,3,2
164,20052006,4,2
164,20052006,5,2
164,20062007,K,12
164,20062007,1,4
164,20062007,2,5
164,20062007,3,3
164,20062007,4,3
164,20062007,5,2
164,20072008,K,8
164,20072008,1,9
164,20072008,2,6
164,20072008,3,4
164,20072008,5,5
164,20082009,K,11
164,20082009,1,8
164,20082009,2,8
164,20082009,3,6
164,20082009,4,2
164,20082009,5,1
164,20092010,K,13
164,20092010,1,9
164,20092010,2,6
164,20092010,3,6
164,20092010,4,4
164,20102011,K,24
164,20102011,1,17
164,20102011,2,21
164,20102011,3,10
164,20102011,4,9
164,20102011,5,4
166,20012002,K,9
166,20012002,1,8
166,20012002,2,12
166,20012002,3,7
166,20012002,4,6
166,20012002,5,9
166,20022003,K,7
166,20022003,1,7
166,20022003,2,11
166,20022003,3,15
166,20022003,4,8
166,20022003,5,8
166,20032004,K,3
166,20032004,1,7
166,20032004,2,7
166,20032004,3,11
166,20032004,4,13
166,20032004,5,9
166,20042005,K,9
166,20042005,1,5
166,20042005,2,4
166,20042005,3,8
166,20042005,4,13
166,20042005,5,13
166,20052006,K,7
166,20052006,1,9
166,20052006,2,6
166,20052006,3,4
166,20052006,4,7
166,20052006,5,13
166,20062007,K,2
166,20062007,1,5
166,20062007,2,8
166,20062007,3,4
166,20062007,4,4
166,20062007,5,10
166,20072008,K,3
166,20072008,1,3
166,20072008,2,4
166,20072008,3,7
166,20072008,4,6
166,20072008,5,4
166,20082009,K,6
